ID	Dist.(miles)	Alt(ft)	Time
A53207/AAL2851 	0.6	26275	2022-01-12 20:03:44.800000
ADA7C6/N9792V  	1.4	1500	2022-01-12 20:06:14.800000
A17383/N193CA  	2.2	625	2022-01-12 20:07:52.800000
A67018/N5138V  	1.5	1400	2022-01-12 20:10:49.800000
A267F8/N254SP  	2.1	3700	2022-01-12 20:16:52.800000
A17383/N193CA  	2.1	525	2022-01-12 20:18:12.800000
AD2445/JBU2010 	0.6	21325	2022-01-12 20:18:12.800000
A17383/N193CA  	2.1	475	2022-01-12 20:22:16.800000
A062EF/DAL483  	1.3	17325	2022-01-12 20:22:18.800000
A521E9/N43MS   	0.2	18650	2022-01-12 20:24:11.800000
A9A18A/N72DM   	2.4	300	2022-01-12 20:28:11.800000
A445F0/UAL1535 	0.7	19925	2022-01-12 20:28:14.800000
A0F6F6	0.6	1200	2022-01-12 20:29:23.800000
A17383/N193CA  	2.2	450	2022-01-12 20:30:00.800000
ABFB46/AAL1086 	0.6	22225	2022-01-12 20:31:24.800000
ABA3A4/N8490D  	1.7	500	2022-01-12 20:34:11.800000
ADA7C6/N9792V  	0.1	1700	2022-01-12 20:35:08.800000
A17383/N193CA  	2.3	475	2022-01-12 20:36:01.800000
A5A4A0	2.0	4750	2022-01-12 20:36:13.800000
ABA3A4/N8490D  	2.5	500	2022-01-12 20:37:51.800000
A8FBAD/N678YY  	1.5	5750	2022-01-12 20:39:39.800000
ADA7C6/N9792V  	2.1	700	2022-01-12 20:39:41.800000
A17383/N193CA  	1.8	625	2022-01-12 20:40:36.800000
AB58B2/DAL1193 	2.5	22525	2022-01-12 20:42:00.800000
A0E211/N156SH  	1.4	1250	2022-01-12 20:43:00.800000
A8CADB/DAL8928 	0.7	26525	2022-01-12 20:43:25.800000
AD20C5/ASH5949 	0.6	18675	2022-01-12 20:48:17.800000
A89155/N651KC  	1.0	1300	2022-01-12 20:50:02.800000
A0676E	0.3	1900	2022-01-12 20:53:38.800000
ABD627/SWA1723 	0.6	19900	2022-01-12 20:53:40.800000
A4E2DF/N4139G  	1.7	1275	2022-01-12 21:01:06.800000
A41014/XSR361  	0.6	26225	2022-01-12 21:06:33.800000
A2B7C2/N2740T  	1.8	10700	2022-01-12 21:07:48.800000
A5F040/N482CG  	2.5	1100	2022-01-12 21:08:16.800000
A89155/N651KC  	0.9	1400	2022-01-12 21:10:57.800000
AC2380/N881W   	1.0	1125	2022-01-12 21:15:07.800000
A24B86/N247RQ  	1.5	1625	2022-01-12 21:16:56.800000
AAE8BA/N80156  	2.4	325	2022-01-12 21:16:56.800000
AA7A61/SWA967  	0.6	24050	2022-01-12 21:17:18.800000
A0373E/N1129K  	0.8	1425	2022-01-12 21:18:05.800000
A89155/N651KC  	2.0	600	2022-01-12 21:18:23.800000
A0E211/N156SH  	2.4	300	2022-01-12 21:18:57.800000
ABAF1D/N852DM  	1.7	1200	2022-01-12 21:21:36.800000
A89155/N651KC  	2.1	600	2022-01-12 21:22:29.800000
A0E211/N156SH  	2.4	325	2022-01-12 21:22:58.800000
AB2B2C/DAL567  	0.6	23125	2022-01-12 21:23:36.800000
AB00A9/FDY804  	0.0	7600	2022-01-12 21:25:06.800000
A4E2DF/N4139G  	0.1	1100	2022-01-12 21:25:57.800000
A771AF/AAL767  	0.6	21925	2022-01-12 21:26:15.800000
A9D6E0/N733HA  	1.0	1450	2022-01-12 21:28:12.800000
A1FCF9/N227WC  	0.9	1450	2022-01-12 21:28:33.800000
A89155/N651KC  	1.5	800	2022-01-12 21:29:13.800000
AA56B8/UAL1632 	0.7	24025	2022-01-12 21:29:15.800000
A0E211/N156SH  	1.7	600	2022-01-12 21:29:49.800000
A41C6B/N364NY  	0.1	13400	2022-01-12 21:30:43.800000
A540E3/AAL2459 	0.6	18225	2022-01-12 21:31:47.800000
A89155/N651KC  	2.0	500	2022-01-12 21:33:21.800000
A0E211/N156SH  	2.4	350	2022-01-12 21:33:55.800000
A89155/N651KC  	1.9	600	2022-01-12 21:37:33.800000
AB5D2C/DAL323  	0.7	22850	2022-01-12 21:37:36.800000
ABAF1D/N852DM  	0.4	1600	2022-01-12 21:41:57.800000
A9335A/NKS953  	0.6	19850	2022-01-12 21:42:32.800000
AAE8BA/N80156  	1.3	850	2022-01-12 21:42:42.800000
A89155/N651KC  	0.9	1200	2022-01-12 21:43:40.800000
A14B74/N1827N  	2.2	400	2022-01-12 21:44:38.800000
~89B528	0.9	2300	2022-01-12 21:44:58.800000
A0F6F6/N161SA  	0.9	2300	2022-01-12 21:45:03.800000
