|  icao   | flight  | alt   | dist | rssi  |   type       |  cat | seen  | mesg  | lat        | long       |         time            |
| AC8AC8  | N907SL  |  1900 |  7.0 |  -4.3 |    adsb_icao |   A1 |   0.1 |  7104 |  33.663116 |-117.725120 |Sat Jan 29 22:07:47 2022 |
| ACAE7C  | N916RR  |  2150 |  8.1 |  -6.9 |    adsb_icao |   A1 |   0.1 | 42893 |  33.663345 |-117.978198 |Sat Jan 29 22:07:49 2022 |
| A97675  | SKW3157 |  6850 |  7.8 |  -1.8 |    adsb_icao |   A2 |   0.1 |  4778 |  33.602150 |-117.971821 |Sat Jan 29 22:07:49 2022 |
| A93AE7  | N694PR  |  2300 |  7.1 | -29.1 |    adsr_icao |   A1 |   0.1 |   832 |  33.621002 |-117.964297 |Sat Jan 29 22:07:49 2022 |
| A7EB78  | N6093J  |  0000 |  3.1 | -28.4 |    adsr_icao |   A1 |  43.5 |  4797 |  33.670303 |-117.874781 |Sat Jan 29 22:07:49 2022 |
| A83988  | ASA810  |  0250 |  4.3 |  -4.4 |    adsb_icao |   A3 |   0.0 |  8938 |  33.696698 |-117.855549 |Sat Jan 29 22:07:49 2022 |
| A14D65  | N183SD  |  0575 |  2.1 | -20.2 |    adsb_icao |   A7 |   0.9 | 20798 |  33.664352 |-117.851631 |Sat Jan 29 22:07:49 2022 |
| A53BC6  | N4360F  |  5200 |  7.3 |  -2.6 |    adsb_icao |   A1 |   0.0 |  2910 |  33.529449 |-117.849792 |Sat Jan 29 22:07:49 2022 |
| A4190F  | N363SP  |  3200 |  4.6 |  -5.7 |    adsr_icao |   A1 |   0.4 |  1232 |  33.687061 |-117.791405 |Sat Jan 29 22:07:49 2022 |
| AC8AC8  | N907SL  |  1900 |  7.0 |  -1.8 |    adsb_icao |   A1 |   0.3 |  7115 |  33.663180 |-117.726116 |Sat Jan 29 22:07:49 2022 |
| ACAE7C  | N916RR  |  2150 |  7.9 |  -8.2 |    adsb_icao |   A1 |   0.2 | 42904 |  33.663599 |-117.976055 |Sat Jan 29 22:07:51 2022 |
| A97675  | SKW3157 |  6850 |  7.8 |  -2.3 |    adsb_icao |   A2 |   0.2 |  4805 |  33.604340 |-117.972817 |Sat Jan 29 22:07:51 2022 |
| A93AE7  | N694PR  |  2300 |  7.1 | -27.8 |    adsr_icao |   A1 |   1.1 |   835 |  33.621231 |-117.965082 |Sat Jan 29 22:07:51 2022 |
| A7EB78  | N6093J  |  0000 |  3.1 | -28.4 |    adsr_icao |   A1 |  45.5 |  4797 |  33.670303 |-117.874781 |Sat Jan 29 22:07:51 2022 |
| A83988  | ASA810  |  0250 |  4.3 |  -1.4 |    adsb_icao |   A3 |   0.3 |  8948 |  33.696139 |-117.855949 |Sat Jan 29 22:07:51 2022 |
| A14D65  | N183SD  |  0550 |  2.2 |  -4.9 |    adsb_icao |   A7 |   0.7 | 20802 |  33.665973 |-117.853889 |Sat Jan 29 22:07:51 2022 |
| A53BC6  | N4360F  |  5200 |  7.2 |  -4.3 |    adsb_icao |   A1 |   0.1 |  2927 |  33.530411 |-117.851385 |Sat Jan 29 22:07:51 2022 |
| A4190F  | N363SP  |  3300 |  4.7 |  -3.7 |    adsr_icao |   A1 |   0.2 |  1241 |  33.687713 |-117.790718 |Sat Jan 29 22:07:51 2022 |
| AC8AC8  | N907SL  |  1900 |  6.9 |  -2.3 |    adsb_icao |   A1 |   0.4 |  7129 |  33.663366 |-117.726803 |Sat Jan 29 22:07:51 2022 |
| ACAE7C  | N916RR  |  2150 |  7.9 |  -4.5 |    adsb_icao |   A1 |   0.2 | 42929 |  33.663785 |-117.974625 |Sat Jan 29 22:07:53 2022 |
| A97675  | SKW3157 |  6875 |  7.8 |  -1.8 |    adsb_icao |   A2 |   0.2 |  4834 |  33.606340 |-117.973766 |Sat Jan 29 22:07:53 2022 |
| A93AE7  | N694PR  |  2200 |  7.3 | -26.2 |    adsr_icao |   A1 |   0.2 |   842 |  33.621964 |-117.967436 |Sat Jan 29 22:07:53 2022 |
| A7EB78  | N6093J  |  0000 |  3.1 | -28.4 |    adsr_icao |   A1 |  47.5 |  4797 |  33.670303 |-117.874781 |Sat Jan 29 22:07:53 2022 |
| A83988  | ASA810  |  0225 |  4.2 |  -1.6 |    adsb_icao |   A3 |   0.7 |  8956 |  33.694975 |-117.856636 |Sat Jan 29 22:07:53 2022 |
| A14D65  | N183SD  |  0550 |  2.3 |  -1.7 |    adsb_icao |   A7 |   0.2 | 20808 |  33.666321 |-117.854434 |Sat Jan 29 22:07:53 2022 |
| A53BC6  | N4360F  |  5200 |  7.2 |  -7.7 |    adsb_icao |   A1 |   0.1 |  2953 |  33.531018 |-117.852472 |Sat Jan 29 22:07:53 2022 |
| A4190F  | N363SP  |  3300 |  4.7 |  -2.9 |    adsr_icao |   A1 |   0.2 |  1254 |  33.688318 |-117.790089 |Sat Jan 29 22:07:53 2022 |
| AC8AC8  | N907SL  |  1900 |  6.9 |  -2.5 |    adsb_icao |   A1 |   0.3 |  7145 |  33.663803 |-117.727306 |Sat Jan 29 22:07:53 2022 |
| A97675  | SKW3157 |  6875 |  7.8 |  -2.1 |    adsb_icao |   A2 |   0.0 |  4851 |  33.608505 |-117.974779 |Sat Jan 29 22:07:55 2022 |
| ACAE7C  | N916RR  |  2150 |  7.8 |  -4.7 |    adsb_icao |   A1 |   0.3 | 42946 |  33.663971 |-117.973366 |Sat Jan 29 22:07:55 2022 |
| A93AE7  | N694PR  |  2200 |  7.3 | -22.4 |    adsr_icao |   A1 |   1.3 |   846 |  33.622101 |-117.967884 |Sat Jan 29 22:07:55 2022 |
| A7EB78  | N6093J  |  0000 |  3.1 | -28.4 |    adsr_icao |   A1 |  49.5 |  4797 |  33.670303 |-117.874781 |Sat Jan 29 22:07:55 2022 |
| A83988  | ASA810  |  0175 |  4.1 |  -1.6 |    adsb_icao |   A3 |   0.3 |  8966 |  33.693625 |-117.857494 |Sat Jan 29 22:07:55 2022 |
| A14D65  | N183SD  |  0550 |  2.3 |  -1.7 |    adsb_icao |   A7 |   2.2 | 20808 |  33.666321 |-117.854434 |Sat Jan 29 22:07:55 2022 |
| A53BC6  | N4360F  |  5200 |  7.2 |  -3.9 |    adsb_icao |   A1 |   0.0 |  2973 |  33.531670 |-117.853593 |Sat Jan 29 22:07:55 2022 |
| A4190F  | N363SP  |  3400 |  4.8 |  -4.4 |    adsr_icao |   A1 |   0.2 |  1262 |  33.688923 |-117.789459 |Sat Jan 29 22:07:55 2022 |
| AC8AC8  | N907SL  |  1900 |  6.9 |  -2.3 |    adsb_icao |   A1 |   0.3 |  7163 |  33.664390 |-117.727489 |Sat Jan 29 22:07:55 2022 |
| A97675  | SKW3157 |  6875 |  7.9 |  -1.9 |    adsb_icao |   A2 |   0.1 |  4863 |  33.610565 |-117.975732 |Sat Jan 29 22:07:57 2022 |
| ACAE7C  | N916RR  |  2150 |  7.7 |  -4.2 |    adsb_icao |   A1 |   0.2 | 42962 |  33.664169 |-117.971920 |Sat Jan 29 22:07:57 2022 |
| A93AE7  | N694PR  |  2200 |  7.4 | -21.7 |    adsr_icao |   A1 |   0.4 |   849 |  33.622879 |-117.970126 |Sat Jan 29 22:07:57 2022 |
| A7EB78  | N6093J  |  0000 |  3.1 | -28.4 |    adsr_icao |   A1 |  51.5 |  4797 |  33.670303 |-117.874781 |Sat Jan 29 22:07:57 2022 |
| A83988  | ASA810  |  0175 |  4.1 |  -1.7 |    adsb_icao |   A3 |   0.4 |  8971 |  33.693625 |-117.857494 |Sat Jan 29 22:07:57 2022 |
| A53BC6  | N4360F  |  5200 |  7.1 |  -6.8 |    adsb_icao |   A1 |   0.2 |  2990 |  33.532150 |-117.854462 |Sat Jan 29 22:07:57 2022 |
| A14D65  | N183SD  |  0550 |  2.3 |  -1.7 |    adsb_icao |   A7 |   4.2 | 20808 |  33.666321 |-117.854434 |Sat Jan 29 22:07:57 2022 |
| A4190F  | N363SP  |  3400 |  4.9 |  -4.4 |    adsr_icao |   A1 |   0.1 |  1271 |  33.689621 |-117.788796 |Sat Jan 29 22:07:57 2022 |
| AC8AC8  | N907SL  |  1900 |  6.9 |  -2.0 |    adsb_icao |   A1 |   0.3 |  7179 |  33.665039 |-117.727194 |Sat Jan 29 22:07:57 2022 |
| A97675  | SKW3157 |  6875 |  7.9 |  -3.0 |    adsb_icao |   A2 |   0.0 |  4879 |  33.612764 |-117.976742 |Sat Jan 29 22:07:59 2022 |
| A93AE7  | N694PR  |  2200 |  7.5 | -22.6 |    adsr_icao |   A1 |   0.7 |   852 |  33.623245 |-117.971191 |Sat Jan 29 22:07:59 2022 |
| ACAE7C  | N916RR  |  2150 |  7.6 |  -4.0 |    adsb_icao |   A1 |   0.0 | 42974 |  33.664307 |-117.970519 |Sat Jan 29 22:07:59 2022 |
| A83988  | ASA810  |  0125 |  4.0 |  -1.4 |    adsb_icao |   A3 |   0.0 |  8980 |  33.691205 |-117.858982 |Sat Jan 29 22:07:59 2022 |
| A53BC6  | N4360F  |  5200 |  7.1 |  -3.0 |    adsb_icao |   A1 |   0.1 |  3012 |  33.532974 |-117.856000 |Sat Jan 29 22:07:59 2022 |
